lat,lng,water_vapour
11.501678,99.048416,-9999
11.591304,99.03927,-9999
11.590043,99.0322,-9999
11.679345,99.0202,-9999
11.677749,99.01428,-9999
11.767315,99.00477,-9999
11.766231,98.997894,-9999
11.855067,98.98194,-9999
11.853867,98.97726,-9999
11.943833,98.971664,-9999
11.942592,98.96452,-9999
12.032258,98.956,-9999
12.030865,98.95158,-9999
12.120472,98.942314,-9999
12.119444,98.935776,-9999
12.208856,98.92475,-9999
12.207388,98.91987,-9999
12.296851,98.90932,-9999
12.295625,98.90247,-9999
12.3846035,98.88767,-9999
12.383237,98.88283,-9999
12.472741,98.873024,-9999
12.47183,98.86683,-9999
12.561565,98.85911,-9999
12.560105,98.854065,-9999
12.649517,98.84321,-9999
12.648373,98.8368,-9999
12.737789,98.826065,-9999
12.736439,98.82068,-9999
12.825501,98.80677,-9999
12.824274,98.79962,-9999
12.914507,98.79673,-9999
12.913215,98.791504,-9999
13.00267,98.780975,-9999
13.001429,98.77451,-9999
13.090558,98.76108,-9999
13.089318,98.75605,-9999
13.179255,98.75022,-9999
13.177976,98.74344,-9999
13.266592,98.72521,-9999
13.265138,98.71862,-9999
13.355355,98.715866,-9999
13.354164,98.70903,-9999
13.443714,98.699615,-9999
13.442457,98.695015,-9999
13.531106,98.677155,-9999
13.52987,98.66982,-9999
13.619858,98.66509,-9999
13.618665,98.65995,-9999
13.707767,98.64656,-9999
13.706421,98.63859,-9999
13.796254,98.63243,-9999
13.794956,98.62732,-9999
13.884713,98.62014,-9999
13.883527,98.6124,-9999
13.972787,98.600494,-9999
13.971484,98.59515,-9999
14.061256,98.58821,-9999
14.060173,98.58134,-9999
14.149692,98.571846,-9999
14.148364,98.567764,-9999
14.237658,98.55601,-9999
14.236547,98.54965,-9999
14.326028,98.53985,-9999
14.324844,98.53539,-9999
14.4140005,98.52243,-9999
14.413051,98.516556,-9999
14.501641,98.49844,-9999
14.50025,98.49429,-9999
14.590092,98.48868,-9999
14.588969,98.47964,-9999
14.679043,98.476166,-9999
14.677665,98.47103,-9999
14.76763,98.46599,-9999
14.766443,98.45894,-9999
14.855898,98.44871,-9999
14.854601,98.44408,-9999
14.944045,98.43372,-9999
14.942853,98.42696,-9999
15.032504,98.41874,-9999
15.031043,98.4142,-9999
15.120789,98.406715,-9999
15.119786,98.39929,-9999
15.209245,98.38894,-9999
15.207907,98.38407,-9999
15.297462,98.37469,-9999
15.296235,98.36782,-9999
15.385632,98.356926,-9999
15.384124,98.350945,-9999
15.473625,98.34123,-9999
15.472568,98.33381,-9999
15.562437,98.32785,-9999
15.560933,98.32196,-9999
15.649982,98.307655,-9999
15.648906,98.30201,-9999
15.738863,98.29704,-9999
15.737644,98.29283,-9999
15.8271475,98.28289,-9999
15.826044,98.27628,-9999
15.915749,98.26843,-9999
15.914313,98.26289,-9999
16.003769,98.25243,-9999
16.002573,98.24588,-9999
16.092386,98.23912,-9999
16.090971,98.2339,-9999
16.180666,98.225746,-9999
16.179432,98.21858,-9999
16.268929,98.20841,-9999
16.26777,98.20367,-9999
16.357452,98.195366,-9999
16.355928,98.18721,-9999
16.445538,98.17826,-9999
16.444386,98.173355,-9999
16.534252,98.166954,-9999
16.532768,98.15991,-9999
16.622353,98.15049,-9999
16.620897,98.14569,-9999
16.710566,98.13708,-9999
16.709375,98.13,-9999
16.798994,98.12092,-9999
16.797638,98.11609,-9999
16.88718,98.106155,-9999
16.885921,98.09929,-9999
16.974953,98.084206,-9999
16.973806,98.08049,-9999
17.063667,98.07431,-9999
17.062553,98.06808,-9999
17.151442,98.05161,-9999
17.150234,98.0481,-9999
17.239246,98.03337,-9999
17.238361,98.02751,-9999
17.327576,98.01532,-9999
17.326107,98.00938,-9999
17.416399,98.0087,-9999
17.415169,98.00111,-9999
17.505314,97.99834,-9999
17.504011,97.9933,-9999
17.592909,97.97688,-9999
17.591948,97.97115,-9999
17.681004,97.95701,-9999
17.679419,97.95201,-9999
17.768808,97.94176,-9999
17.767765,97.93403,-9999
17.85826,97.93571,-9999
17.85713,97.93054,-9999
17.946854,97.92312,-9999
17.945381,97.915276,-9999
18.035181,97.9087,-9999
18.03399,97.9036,-9999
18.123423,97.892845,-9999
18.121967,97.88445,-9999
18.211592,97.8761,-9999
18.210142,97.870834,-9999
18.29963,97.860954,-9999
18.298468,97.85276,-9999
18.38808,97.844505,-9999
18.386732,97.83946,-9999
18.476114,97.82861,-9999
18.474953,97.82082,-9999
18.564495,97.81205,-9999
18.563137,97.8063,-9999
18.652523,97.79583,-9999
18.651157,97.787735,-9999
18.740751,97.77986,-9999
18.73963,97.77514,-9999
18.829147,97.766266,-9999
18.827974,97.75871,-9999
18.917559,97.7507,-9999
18.916348,97.74615,-9999
19.006062,97.73941,-9999
19.004782,97.73285,-9999
19.09474,97.72867,-9999
19.093418,97.72198,-9999
19.183092,97.71436,-9999
19.181938,97.70742,-9999
19.2711,97.69412,-9999
19.269669,97.68887,-9999
19.359015,97.67799,-9999
19.358053,97.672005,-9999
19.44835,97.67194,-9999
19.446922,97.667145,-9999
19.536728,97.66073,-9999
19.535696,97.654495,-9999
19.625353,97.64625,-9999
19.623957,97.6422,-9999
19.713102,97.62803,-9999
19.712097,97.62189,-9999
19.8013,97.60887,-9999
19.800106,97.60384,-9999
19.889746,97.5961,-9999
19.888325,97.5885,-9999
